Date,Time,Entering Grade Level,District,Birth Month,OLSAT Verbal Score,OLSAT Verbal Percentile,NNAT Non Verbal Raw Score,NNAT Non Verbal Percentile,Overall Score,School Preferences,School Assigned,Will you enroll there?
4/8/2017 0:00,6:44:01 AM,1,6,September,28,99,45,99,99,"NEST+M, TAG, Anderson, Q300",NEST+M,YES
4/7/2017 0:00,10:40:45 AM,K,N/A,August,25,99,39,99,99,"Anderson, NEST+M",TBD,Maybe
4/7/2017 0:00,10:41:56 AM,1,N/A,March,27,96,42,99,98,TBD,TBD,Maybe
4/7/2017 0:00,10:43:31 AM,K,N/A,September,23,97,40,99,98,TBD,TBD,Maybe
4/10/2017 0:00,10:18:34 AM,K,2,April,25,98,38,99,99,Brooklyn School of Inquiry,Currently - local Brooklyn dual language,Maybe
4/7/2017 0:00,11:03:21 AM,K,N/A,May,24,97,36,98,98,TBD,TBD,Maybe
4/7/2017 0:00,11:15:28 AM,K,N/A,February,26,99,42,99,99,"Anderson, NEST+M, TAG, Q300",TBD,Maybe
4/7/2017 0:00,11:26:16 AM,K,N/A,October,24,99,42,99,99,"Nest+M, Anderson",TBD,Yes
4/7/2017 0:00,11:31:41 AM,1,N/A,March,23,81,42,99,95,TBD,TBD,Maybe
4/7/2017 0:00,11:32:52 AM,2,N/A,April,29,99,44,99,99,Any city-wide or disctrict school,TBD,Yes
4/7/2017 0:00,11:57:06 AM,K,N/A,June,17,77,39,99,94,TBD,TBD,Maybe
4/7/2017 0:00,12:03:49 PM,K,N/A,December,23,98,45,99,99,TBD,TBD,Maybe
4/7/2017 0:00,12:36:07 PM,1,N/A,July,24,86,39,98,94,TBD,TBD,Maybe
4/7/2017 0:00,12:42:05 PM,1,N/A,May,29,99,48,99,99,TBD,TBD,Maybe
4/7/2017 0:00,1:00:25 PM,1,N/A,January,28,96,43,99,98,TBD,TBD,Maybe
4/7/2017 0:00,1:16:38 PM,K,N/A,January,26,99,40,99,99,TBD,TBD,Maybe
4/7/2017 0:00,2:50:06 PM,1,N/A,January,26,89,46,99,96,TBD,TBD,Maybe
4/7/2017 0:00,4:19:39 PM,1,N/A,June,25,89,41,99,96,TBD,TBD,Maybe
4/8/2017 0:00,8:20:44 AM,K,1,December,21,96,43,99,98,PS121 ,TBD,Yes
4/8/2017 0:00,8:33:07 AM,K,3,August,25,99,39,99,99,"Anderson, NEST+M",TBD,Maybe
4/8/2017 0:00,8:44:05 AM,K,2,May,28,99,46,99,99,Anderson,PSQ203,Maybe
4/8/2017 0:00,8:54:04 AM,K,2,July,28,99,38,99,99,TBD,TBD,Maybe
4/8/2017 0:00,9:26:30 AM,2,2,February,28,97,44,99,98,TBD,TBD,Maybe
4/8/2017 0:00,9:41:44 AM,1,3,November,28,99,41,99,99,"Anderson, NEST+M, Lower Lab",TBD,Yes
4/8/2017 0:00,9:56:57 AM,1,1,January,26,89,42,99,96,TBD,TBD,Maybe
4/8/2017 0:00,12:34:56 PM,2,2,January,28,97,43,99,98,"PS, Q203",PSQ203,Yes
4/8/2017 0:00,4:31:36 PM,1,2,March,28,99,45,99,99,TBD,TBD,Maybe
4/8/2017 0:00,7:17:06 PM,2,2,November,28,99,47,99,99,Anderson,TBD,Yes
4/8/2017 0:00,7:56:05 PM,1,1,January,26,89,46,99,96,Likely staying in zoned schools; D15 G&T options are limited.,TBD,Maybe
4/8/2017 0:00,10:08:30 PM,K,2,February,27,99,46,99,99,TBD,TBD,Yes
4/9/2017 0:00,12:11:05 AM,K,1,May,27,99,45,99,99,NEST+M,TBD,Maybe
4/10/2017 0:00,8:30:29 AM,K,1,March,32,97,40,99,98,TAG,175,Maybe
4/10/2017 0:00,9:35:21 AM,K,2,May,19,87,40,99,96,PS229,TBD,No
4/10/2017 0:00,10:04:50 AM,K,2,May,24,97,36,98,98,Anderson,PSQ32 ,Yes
4/10/2017 0:00,1:25:42 PM,K,2,August,13,55,27,90,76,TBD,TBD,Maybe
4/10/2017 0:00,8:09:49 PM,K,3,August,29,99,37,99,99,Anderson,TBD,Yes
4/11/2017 0:00,8:01:30 PM,K,2,July,18,83,38,99,95,TBD,TBD,Maybe
4/11/2017 0:00,10:32:23 PM,K,3,December,23,98,40,99,99,"Anderson, Tag Young, Nest+M",TBD,Yes
4/12/2017 0:00,12:40:43 PM,K,2,November,18,88,45,99,96,TBD,TBD,Maybe
4/12/2017 0:00,11:47:39 PM,K,2,July,22,86,41,99,96,TBD,TBD,Yes
4/13/2017 0:00,1:10:00 PM,K,3,April,23,96,39,99,98,TBD,TBD,Maybe
4/13/2017 0:00,2:05:27 PM,K,3,March,17,79,36,99,94,TBD,TBD,Maybe
4/13/2017 0:00,2:33:37 PM,1,2,January,24,86,42,99,96,TBD,TBD,Yes
4/13/2017 0:00,3:20:13 PM,K,2,October,26,99,35,99,99,TBD,TBD,Maybe
4/13/2017 0:00,4:21:18 PM,K,3,February,26,99,40,99,99,NEST+M,N/A,No
4/16/2017 0:00,11:39:12 PM,1,3,December,27,99,43,99,99,Any city-wide,TBD,Yes
4/17/2017 0:00,12:53:01 AM,1,2,January,28,96,46,99,98,TBD,TBD,Maybe
4/17/2017 0:00,11:08:35 AM,K,2,March,24,96,44,99,98,PS188,TBD,Yes
4/17/2017 0:00,4:14:41 PM,1,2,December,29,99,45,99,99,BSI,TBD,Maybe
4/17/2017 0:00,10:12:28 PM,K,2,September,28,99,42,99,99,TBD,TBD,Maybe
4/18/2017 0:00,11:09:44 AM,1,2,March,29,99,44,99,99,TBD,Anderson,No
4/19/2017 0:00,11:39:34 PM,K,2,February,20,87,33,93,90,TBD,TBD,Maybe
4/20/2017 0:00,3:10:19 PM,2,1,December,28,99,44,99,99,NEST+M,TBD,Maybe
4/20/2017 0:00,8:32:27 PM,K,2,March,25,98,40,99,99,"Nest+M, BSI",TBD,Maybe
4/21/2017 0:00,11:40:53 AM,K,2,January,24,99,45,99,98,TBD,TBD,Maybe
4/21/2017 0:00,5:31:21 PM,K,3,April,24,97,40,99,99,TBD,TBD,Maybe
4/24/2017 0:00,10:18:34 AM,K,2,July,24,97,34,98,98,"NEST+M, LL, Anderson, TAG, PS130, PS11, PS124, PS33",TBD,Maybe
4/24/2017 0:00,11:38:20 AM,K,2,February,23,95,37,98,97,"NEST+M, PS144, PS174",TBD,Yes
4/24/2017 0:00,6:23:22 PM,K,2,July,27,99,38,99,99,TBD,TBD,Maybe
4/24/2017 0:00,6:23:48 PM,K,1,October,22,96,34,99,98,TBD,TBD,Maybe
4/24/2017 0:00,8:56:49 PM,K,2,May,25,99,36,98,99,"Anderson, NEST+M, PS77, TAG ",PS 158,Yes
4/25/2017 0:00,9:44:43 AM,K,3,March,26,99,45,99,99,Anderson,TBD,Yes
4/25/2017 0:00,10:14:23 AM,1,2,January,26,97,39,99,98,N/A,TBD,No
4/25/2017 0:00,10:25:19 AM,K,2,March,28,99,43,99,99,"Anderson, NEST+M, TAG, PS77, PS33, PS11",TBD,Yes
4/25/2017 0:00,10:59:38 AM,1,2,April,23,81,45,99,95,PS203,N/A,Yes
4/25/2017 0:00,11:12:19 AM,1,2,May,29,99,48,99,99,Q300,TBD,Yes
4/25/2017 0:00,1:47:57 PM,2,3,July,29,99,40,99,99,"NEST+M, Anderson, 30th Av",TBD,Maybe
4/25/2017 0:00,2:00:06 PM,K,2,January,24,96,40,99,98,TBD,TBD,Maybe
4/26/2017 0:00,10:26:30 AM,K,2,September,99,99,99,99,99,TBD,TBD,Maybe
4/26/2017 0:00,1:16:22 PM,K,2,January,25,98,41,99,99,"Anderson, NEST+M, LL, PS11",TBD,Maybe
4/26/2017 0:00,2:44:10 PM,K,3,January,19,81,38,99,95,"PS50, PS229, PS205, PS53",TBD,Yes
4/26/2017 0:00,5:16:18 PM,1,2,May,29,99,44,99,99,"Anderson, NEST+M, TAG, LL",TBD,Maybe
4/26/2017 0:00,11:34:58 PM,3,3,October,90,90,90,90,90,TBD,TBD,Maybe
4/27/2017 0:00,11:28:40 AM,K,2,November,20,90,39,99,96,PS11,TBD,Maybe
4/28/2017 0:00,8:37:25 AM,K,2,March,21,90,39,99,96,"LL, PS198, PS11, PS130, PS217, PS124, PS33",TBD,Maybe
4/28/2017 0:00,11:41:59 AM,2,2,November,28,99,47,99,99,"Anderson, NEST+M, LL, PS11",TBD,Maybe
4/29/2017 0:00,9:58:21 PM,3,3,March,30,99,39,99,99,TBD,TBD,Maybe
5/3/2017 0:00,10:40:02 AM,K,2,December,23,98,37,99,99,"NEST+M, BSI, Anderson, Q300",TBD,Maybe
5/3/2017 0:00,10:41:51 AM,K,2,December,23,98,37,99,99,"NEST+M, BSI, Anderson",TBD,Maybe
5/3/2017 0:00,5:06:18 PM,1,1,February,21,69,42,99,92,"PS316, PS38",TBD,Maybe
5/4/2017 0:00,10:16:30 AM,K,2,January,24,96,39,99,98,BSI,TBD,Yes
5/5/2017 0:00,9:41:31 PM,K,2,May,35,94,40,98,96,"PS144, PS174",TBD,Maybe
5/5/2017 0:00,9:44:21 PM,K,2,March,22,94,40,98,96,TBD,TBD,Maybe
5/7/2017 0:00,6:56:39 PM,1,1,October,28,99,41,99,99,"NEST+M, Anderson",TBD,Yes
5/8/2017 0:00,11:38:31 AM,K,2,August,N/A,70,N/A,99,93,TBD,TBD,Maybe
5/9/2017 0:00,3:30:26 AM,2,2,May,28,98,37,95,97,Anderson ,TBD,Yes
5/10/2017 0:00,8:31:46 PM,K,2,July,19,87,41,99,96,"PS11, PS198, PS33",TBD,Yes
5/15/2017 0:00,3:33:17 PM,1,2,November,29,99,44,99,99,BSI,TBD,Maybe
5/16/2017 0:00,10:18:35 AM,K,2,December,26,99,46,99,99,"NEST+M, Anderson, Q300",TBD,Maybe
5/24/2017 0:00,1:37:41 PM,K,3,February,23,95,40,99,98,"PS300, PS217, PS122, PS166",TBD,Yes
5/24/2017 0:00,2:32:37 PM,K,2,February,25,98,41,99,99,"NEST+M, Q300, PS188, PS203",TBD,Maybe
5/29/2017 0:00,7:48:04 PM,K,2,October,30,99,43,99,99,Brooklyn School of Inquiry,TBD,Yes
5/31/2017 0:00,11:19:23 PM,K,2,February,30,99,42,99,99,BSI,TBD,Maybe
6/1/2017 0:00,12:36:44 PM,K,2,June,24,97,43,99,98,"Anderson, NEST+M, PS130, PS124, Lower Lab, PS11, PS33, TAG, BSI",PS130,Yes
6/1/2017 0:00,3:45:11 PM,K,2,May,25,99,36,98,99,"Anderson, NEST, LL, TAG",TAG,Yes
6/1/2017 0:00,5:24:36 PM,K,2,April,25,98,38,99,99,Brooklyn School of Inquiry,Brooklyn School of Inquiry,Yes
6/1/2017 0:00,5:27:50 PM,K,3,January,23,93,38,99,97,"PS539, PS334, PS166, PS77, 11, 163, 12 ",163,Maybe
6/1/2017 0:00,5:50:09 PM,2,2,October,28,99,47,99,99,Anderson,N/A,Yes
6/1/2017 0:00,6:06:00 PM,K,2,July,83,83,99,99,95,"LL, PS11, PS33",N/A,Maybe
6/1/2017 0:00,6:19:31 PM,K,1,May,26,99,44,99,99,NEST+M,NEST+M,Yes
6/1/2017 0:00,7:10:52 PM,2,3,April,29,99,44,99,99,"Anderson, Nest, Tag, BSI, Q300, PS166, PS163",PS163,Maybe
6/1/2017 0:00,7:34:07 PM,1,3,December,27,99,43,99,99,All CW,Q300,Yes
6/1/2017 0:00,8:46:58 PM,K,2,April,29,99,42,99,99,"Anderson, Nest+M, Lower Lab, BSI, 33,11,111",LL,Yes
6/1/2017 0:00,11:31:05 PM,K,2,January,28,99,41,99,99,"Anderson, NEST+M, LL, TAG",Anderson,Yes
6/2/2017 0:00,9:52:09 AM,1,2,March,N/A,98,N/A,98,98,TBD,TBD,Maybe
6/2/2017 0:00,12:03:31 PM,K,2,July,24,97,34,98,98,"NEST+M, LL, Anderson, TAG, PS130, PS11, PS124",PS130,Maybe
6/2/2017 0:00,1:20:23 PM,K,3,April,23,96,39,99,98,TBD,PS166,Yes
6/4/2017 0:00,6:36:43 AM,K,2,April,27,99,37,99,99,"NEST+M, PS33",NEST+M,Yes
6/4/2017 0:00,9:25:21 PM,1,3,November,N/A,99,N/A,99,99,"Anderson, NEST+M, PS166, TAG, LL",PS166,Yes
6/6/2017 0:00,5:11:07 PM,K,2,April,25,98,39,99,99,"LL, Anderson, Nest+M, PS198",LL,Yes
6/6/2017 0:00,11:23:20 PM,K,2,January,24,96,45,99,98,TBD,TBD,Maybe
6/7/2017 0:00,11:25:27 PM,K,2,December,99,99,99,99,99,TBD,TBD,Yes
6/20/2017 0:00,4:06:54 PM,1,2,August,30,99,44,99,99,"LL, Anderson, PS11, NEST+M, PS33",LL,Yes
6/21/2017 0:00,10:52:59 PM,K,2,July,97,97,97,99,98,PS229,PS205,Yes
9/14/2017 0:00,4:39:55 PM,K,3,February,26,99,40,99,99,TBD,TBD,Maybe
11/19/2017 0:00,7  5:07:05 PM,K,4,April,19,84,33,95,91,PS102,PS102,Yes
1/11/2019 0:00,3:03:41 PM,K,2,January,24,97,44,99,98,PS11,PS33,Yes
